symbol,signal_date,signal_time_et,entry_price,branch_label,position_size,tp_bps_used,sl_bps_used,exit_price,exit_time_et,exit_reason,minutes_held,gross_return_bps,net_return_bps,run_uuid
AMD,2024-04-23,10:30,152.82,gap_open,1.0,75.0,100.0,152.1158275,15:50,TIME,320,-38.60751210574555,-53.538402669664634,77416b6d-484c-4183-a8ca-310f42cf5926
FSLR,2024-04-23,10:30,181.692,gap_filled_half,0.5,50.0,150.0,182.60035728724125,10:57,TP,27,57.53749999999964,21.231249999999886,77416b6d-484c-4183-a8ca-310f42cf5926
MU,2024-04-23,10:30,112.39,gap_filled_half,0.5,50.0,150.0,112.26573749999999,15:50,TIME,320,-3.5590355013796824,-9.271229690109775,77416b6d-484c-4183-a8ca-310f42cf5926
VRT,2024-04-24,10:30,88.325,gap_open,1.0,75.0,100.0,87.44170081401562,10:35,SL,5,-92.57500000000033,-107.42500000000085,77416b6d-484c-4183-a8ca-310f42cf5926
ON,2024-04-25,10:30,66.86,gap_filled_half,0.5,50.0,150.0,65.85706295538125,11:14,SL,44,-142.61249999999978,-78.69374999999982,77416b6d-484c-4183-a8ca-310f42cf5926
AMD,2024-04-29,10:30,159.409,gap_filled_half,0.5,50.0,150.0,160.20595488409967,11:19,TP,49,57.5374999999996,21.231249999999182,77416b6d-484c-4183-a8ca-310f42cf5926
SMCI,2024-05-01,12:30,73.5,gap_open,1.0,75.0,100.0,72.7649590696875,12:41,SL,11,-92.57499999999952,-107.42499999999963,77416b6d-484c-4183-a8ca-310f42cf5926
SMCI,2024-05-01,13:30,73.25,gap_open,1.0,75.0,100.0,73.79933348785157,13:46,TP,16,82.55625000000188,67.44374999999984,77416b6d-484c-4183-a8ca-310f42cf5926
AMD,2024-05-03,10:30,148.3144,gap_open,1.0,75.0,100.0,149.42667394744862,11:46,TP,76,82.55625000000023,67.44374999999906,77416b6d-484c-4183-a8ca-310f42cf5926
LITE,2024-05-03,10:30,45.95,gap_open,1.0,75.0,100.0,45.49047441159375,12:47,SL,137,-92.57499999999972,-107.42500000000099,77416b6d-484c-4183-a8ca-310f42cf5926
NVDA,2024-05-03,10:30,87.89,gap_open,1.0,75.0,100.0,88.54912519108908,12:05,TP,95,82.5562500000011,67.44375000000166,77416b6d-484c-4183-a8ca-310f42cf5926
PLTR,2024-05-03,10:30,23.195,gap_open,1.0,75.0,100.0,22.963037083284373,11:10,SL,40,-92.57500000000009,-107.42500000000132,77416b6d-484c-4183-a8ca-310f42cf5926
SMCI,2024-05-03,10:30,78.59,gap_open,1.0,75.0,100.0,79.17938046157344,10:44,TP,14,82.55625000000134,67.44375000000038,77416b6d-484c-4183-a8ca-310f42cf5926
DELL,2024-05-06,10:30,128.51,gap_filled_half,0.5,50.0,150.0,128.81331749999998,15:50,TIME,320,31.125982413820378,8.045284999754472,77416b6d-484c-4183-a8ca-310f42cf5926
SMCI,2024-05-06,10:30,80.49,gap_open,1.0,75.0,100.0,81.09362938480781,11:20,TP,50,82.55625000000083,67.44375000000085,77416b6d-484c-4183-a8ca-310f42cf5926
APP,2024-05-09,10:30,86.6191,gap_open,1.0,75.0,100.0,87.26869416133194,10:31,TP,1,82.55625000000109,67.44375000000068,77416b6d-484c-4183-a8ca-310f42cf5926
APP,2024-05-09,11:30,87.52,gap_open,1.0,75.0,100.0,88.17635040077501,11:35,TP,5,82.55625000000134,67.44375000000106,77416b6d-484c-4183-a8ca-310f42cf5926
PLTR,2024-05-09,10:30,21.24,gap_filled_half,0.5,50.0,150.0,21.346187992762495,10:35,TP,5,57.5374999999993,21.23124999999896,77416b6d-484c-4183-a8ca-310f42cf5926
SMCI,2024-05-09,10:30,80.05,gap_open,1.0,75.0,100.0,80.65032963416408,10:32,TP,2,82.55625000000218,67.44375000000173,77416b6d-484c-4183-a8ca-310f42cf5926
